noBudget,Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
115504,5.7.2.05,Biaya Pajak Kendaraan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115505,5.7.3.01,Biaya Material Pemeliharaan Gedung,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115506,5.7.3.02,Biaya Jasa Pemeliharaan Gedung,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115507,5.7.3.03,Biaya Material Pemeliharaan Kendaraan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115508,5.7.3.04,Biaya Jasa Pemeliharaan Kendaraan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115509,5.7.3.05,Biaya Material Pemeliharaan Peralatan Kantor,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115510,5.7.3.06,Biaya Jasa Pemeliharaan Peralatan Kantor,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115511,5.7.4.01,Biaya Penyusutan Gedung,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115512,5.7.4.02,Biaya Penyusutan Kendaraan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115513,5.7.4.03,Biaya Penyusutan Inventaris ,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115514,5.7.5.01,Biaya Uang Duka,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115515,5.7.5.02,Biaya Sumbangan Lain,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115516,5.8.01,Pengembangan Ketrampilan dan Pengetahuan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115517,5.8.02,Biaya Studi Lanjut,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115518,5.8.03,Biaya Pengembangan Kerohanian,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115519,5.8.04,Biaya Kursus Persiapan Pensiun,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115520,5.9.01,Biaya Operasional Sekolah Penggerak,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115521,6.1.01,Pendapatan Jasa Giro,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115522,6.1.02,Pendapatan Jasa Deposito,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115523,6.1.03,Pendapatan Bunga Bank,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115524,6.1.04,Pendapatan Lainnya,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115525,6.2.01,Biaya Administrasi Bank,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115526,6.2.02,Biaya lain-lain,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
