Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
5.7.4.02,Biaya Penyusutan Kendaraan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.7.4.03,Biaya Penyusutan Inventaris ,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.7.5.01,Biaya Uang Duka,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.7.5.02,Biaya Sumbangan Lain,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.8.01,Pengembangan Ketrampilan dan Pengetahuan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.8.02,Biaya Studi Lanjut,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.8.03,Biaya Pengembangan Kerohanian,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.8.04,Biaya Kursus Persiapan Pensiun,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.9.01,Biaya Operasional Sekolah Penggerak,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
6.1.01,Pendapatan Jasa Giro,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
6.1.02,Pendapatan Jasa Deposito,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
6.1.03,Pendapatan Bunga Bank,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
6.1.04,Pendapatan Lainnya,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
6.2.01,Biaya Administrasi Bank,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
6.2.02,Biaya lain-lain,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
